month,product,category,revenue,units_sold
2024-01,Laptop,Electronics,45200,28
2024-01,Phone,Electronics,31800,106
2024-01,Desk,Furniture,12400,31
2024-01,Chair,Furniture,8600,43
2024-01,Headphones,Electronics,6200,62
2024-02,Laptop,Electronics,51000,32
2024-02,Phone,Electronics,28400,95
2024-02,Desk,Furniture,9800,24
2024-02,Chair,Furniture,11200,56
2024-02,Headphones,Electronics,7400,74
2024-03,Laptop,Electronics,62400,39
2024-03,Phone,Electronics,35600,119
2024-03,Desk,Furniture,14200,36
2024-03,Chair,Furniture,9400,47
2024-03,Headphones,Electronics,8800,88
2024-04,Laptop,Electronics,58800,37
2024-04,Phone,Electronics,41200,138
2024-04,Desk,Furniture,11600,29
2024-04,Chair,Furniture,13400,67
2024-04,Headphones,Electronics,9600,96
2024-05,Laptop,Electronics,67200,42
2024-05,Phone,Electronics,38800,130
2024-05,Desk,Furniture,16400,41
2024-05,Chair,Furniture,10800,54
2024-05,Headphones,Electronics,11200,112
2024-06,Laptop,Electronics,72400,45
2024-06,Phone,Electronics,44600,149
2024-06,Desk,Furniture,13200,33
2024-06,Chair,Furniture,15600,78
2024-06,Headphones,Electronics,12800,128
2024-07,Laptop,Electronics,69600,43
2024-07,Phone,Electronics,42200,141
2024-07,Desk,Furniture,18400,46
2024-07,Chair,Furniture,12200,61
2024-07,Headphones,Electronics,10400,104
2024-08,Laptop,Electronics,78200,49
2024-08,Phone,Electronics,48800,163
2024-08,Desk,Furniture,15600,39
2024-08,Chair,Furniture,17200,86
2024-08,Headphones,Electronics,13600,136
2024-09,Laptop,Electronics,82400,51
2024-09,Phone,Electronics,52400,175
2024-09,Desk,Furniture,20200,51
2024-09,Chair,Furniture,14800,74
2024-09,Headphones,Electronics,15200,152
2024-10,Laptop,Electronics,91800,57
2024-10,Phone,Electronics,58600,196
2024-10,Desk,Furniture,17800,45
2024-10,Chair,Furniture,19400,97
2024-10,Headphones,Electronics,16800,168
2024-11,Laptop,Electronics,104200,65
2024-11,Phone,Electronics,68400,228
2024-11,Desk,Furniture,22600,57
2024-11,Chair,Furniture,21800,109
2024-11,Headphones,Electronics,19200,192
2024-12,Laptop,Electronics,118600,74
2024-12,Phone,Electronics,82200,274
2024-12,Desk,Furniture,26400,66
2024-12,Chair,Furniture,24600,123
2024-12,Headphones,Electronics,22400,224
